player_id,player_fullname,age,birth_date,birth_place,nationality,height_cm,weight_kg,player_photo,club,league,position,minutes,rating,shots,goals,assists,passes,key_passes,tackles,blocks,interceptions,duels,duels_won,dribbles_attempted,dribbles_success,fouls_drawn,fouls_committed,team_logo,league_logo,goals_p90,assists_p90
6610,Marcos Nicolás Senesi Barón,28.0,1997-05-10,Concordia,Argentina,185,80,https://media.api-sports.io/football/players/6610.png,Bournemouth,Premier League,Defender,1220,7.19,3.29,3.94,9.54,8.97,8.27,5.29,8.75,8.94,6.92,6.11,2.48,3.63,6.11,5.94,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.2213114754098361
18869,Adam James Smith,34.0,1991-04-29,London,England,180,78,https://media.api-sports.io/football/players/18869.png,Bournemouth,Premier League,Defender,396,6.51,1.41,3.94,3.99,1.18,4.28,1.97,1.25,2.16,2.21,1.25,1.19,1.68,5.02,4.28,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
19245,Marcus Joseph Tavernier,26.0,1999-03-22,Leeds,England,178,70,https://media.api-sports.io/football/players/19245.png,Bournemouth,Premier League,Midfielder,1159,6.69,7.8,8.78,6.87,4.89,8.12,3.95,2.18,4.52,6.16,4.3,8.75,7.87,4.94,5.38,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.2329594477998274,0.07765314926660916
20093,James Clayton Hill,23.0,2002-01-10,Bristol,England,184,73,https://media.api-sports.io/football/players/20093.png,Bournemouth,Premier League,Defender,310,6.7,7.76,3.94,3.99,2.96,1.39,4.06,1.25,9.59,6.35,8.1,1.19,1.68,6.03,2.62,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
22136,Bafodé Diakité,24.0,2001-01-06,Toulouse,France,185,74,https://media.api-sports.io/football/players/22136.png,Bournemouth,Premier League,Defender,1035,6.68,2.93,3.94,3.99,7.69,4.66,4.23,3.61,4.35,4.52,4.54,2.93,1.68,3.33,8.15,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
162267,Adrien Truffert,24.0,2001-11-20,Liège,France,176,72,https://media.api-sports.io/football/players/162267.png,Bournemouth,Premier League,Defender,1323,6.79,5.58,3.94,8.17,5.14,8.49,7.38,3.65,4.01,7.12,7.26,8.77,9.16,5.84,4.57,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.06802721088435375
304853,Alex Jay Scott,22.0,2003-08-21,Guernsey,England,178,68,https://media.api-sports.io/football/players/304853.png,Bournemouth,Premier League,Midfielder,996,6.75,6.58,7.53,3.3,7.36,3.42,6.72,5.62,8.46,5.99,7.41,6.72,7.24,8.31,4.38,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.09036144578313252,0.0
363333,Julio César Soler Barreto,20.0,2005-02-16,Asunción,Argentina,170,63,https://media.api-sports.io/football/players/363333.png,Bournemouth,Premier League,Defender,21,6.3,1.41,3.94,3.99,9.3,1.39,0.48,1.25,0.75,9.04,4.33,1.19,1.68,9.92,0.19,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
368030,Eli Junior Kroupi,19.0,2006-06-23,Lorient,France,179,70,https://media.api-sports.io/football/players/368030.png,Bournemouth,Premier League,Attacker,418,6.88,8.52,9.63,3.37,4.93,4.59,4.97,3.3,5.15,0.75,1.22,2.24,4.35,2.62,6.65,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.8612440191387559,0.0
402432,Ben Winterburn,21.0,2004-09-04,,England,185,75,https://media.api-sports.io/football/players/402432.png,Bournemouth,Premier League,Midfielder,13,6.2,0.92,3.41,3.3,0.2,0.84,0.48,2.18,1.06,1.59,0.26,0.53,1.11,0.76,9.44,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
36878,Marco Bizot,34.0,1991-03-10,Hoorn,Netherlands,193,88,https://media.api-sports.io/football/players/36878.png,Aston Villa,Premier League,Goalkeeper,360,6.18,5.0,5.06,4.94,7.95,3.85,4.1,5.06,4.49,6.99,5.32,4.17,4.23,7.63,0.38,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
284457,Lamare Trenton Chansey Bogarde,21.0,2004-01-05,,Netherlands,183,76,https://media.api-sports.io/football/players/284457.png,Aston Villa,Premier League,Defender,352,6.7,1.41,3.94,3.99,5.77,6.39,4.53,7.12,1.61,7.96,6.88,8.17,7.36,9.7,1.61,https://media.api-sports.io/football/teams/66.png,https://media.api-sports.io/football/leagues/39.png,0.0,0.0
18778,Harvey Lewis Barnes,28.0,1997-12-09,Burnley,England,174,66,https://media.api-sports.io/football/players/18778.png,Newcastle,Premier League,Attacker,728,6.84,6.26,7.59,3.37,5.54,6.29,2.62,3.3,4.49,0.65,0.85,6.14,4.73,3.08,7.96,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/leagues/39.png,0.3708791208791209,0.0
19163,Jacob Kai Murphy,30.0,1995-02-24,London,England,179,74,https://media.api-sports.io/football/players/19163.png,Newcastle,Premier League,Midfielder,766,6.89,9.76,8.83,7.65,1.61,8.0,1.49,4.87,2.13,1.61,2.08,8.07,8.73,3.01,8.88,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/leagues/39.png,0.2349869451697128,0.1174934725848564
